Clave de municipio,Clave de localidad,Nombre de la localidad
1,12,La Preciosa [Rancho]
1,1,Amaxac de Guerrero
1,2,San Damián Tlacocalpan
1,13,Amintla
1,9998,Localidades de una vivienda
1,9999,Localidades de dos viviendas
2,6,La Loma [Colonia]
2,1,Apetatitlán
2,2,Belén Atzitzimititlán
2,3,San Matías Tepetomatitlán
2,4,Tecolotla
2,5,Tlatempan
3,121,Alcatraces
3,108,Almeya
3,1,Atlangatepec
3,116,Camino Real
3,133,Cerro de la Cantera
3,26,Cerro de las Flores
3,7,Colonia Agrícola San Luis
3,14,Colonia Benito Juárez (Tezoyo)
3,32,Colonia Loma Bonita
3,40,Cuarta Fracción de Olivares
3,109,El Capricho
3,65,El Catorce
3,110,El Colibrí
3,126,El Embarcadero
3,80,El Encino [Rancho]
3,38,El Fuerte Apache [Centro Turístico]
3,28,El Ocotal
3,74,El Ocote
3,82,El Potrero [Rancho]
3,27,Ex-Hacienda la Trasquila
3,13,Ex-Hacienda San Antonio Tepetzala
3,6,Ex-Hacienda San José Atlanga
3,90,Filemón Hernández
3,122,Finca el Cristo
3,42,Fracción San Pedro Ecatepec
3,127,Francisco Vázquez Jiménez
3,34,Guadiana [Rancho]
3,118,Jesús García
3,25,La Cañada
3,64,La Cañada [Rancho]
3,41,La Cuchilla (El Alcanfor)
3,37,La Flor [Rancho]
3,105,La Joya
3,60,La Loma (El Cerrito)
3,83,La Palma
3,102,La Providencia
3,17,La Trasquila
3,84,Las Barrancas [Rancho]
3,130,Las Caridades
3,94,Las Tinajas (La Tepozanera)
3,85,Las Tinajas [Rancho]
3,9999,Localidades de dos viviendas
3,9998,Localidades de una vivienda
3,87,Los Encinos [Rancho]
3,53,Los Patos [Rancho]
3,96,Luis Echeverría [Establo Bovino]
3,46,Mauro Vázquez
3,106,Rancho Guadalupe
3,33,Rancho Jericó
3,49,Rancho Xalnene
3,35,San Antonio Zacapexco
3,114,San Antonio Zacapexco (San Pedro Zacapexco)
3,89,San Francisco [Rancho]
3,131,San Isidro
3,12,San José de Santa Rosa Zacapexco
3,8,San Pedro Ecatepec
3,92,San Simón
3,10,Santa Clara Ozumba
3,29,Santa Elena
3,11,Santa María Tepetzala
3,18,Santiago Villalta
3,4,Segunda Fracción de Olivares
3,56,Tepitzilapa
3,57,Tercera Fracción de Olivares
3,107,Unidad Habitacional I
3,31,Villa de las Flores
3,119,Villa Esperanza [Rancho]
3,48,Villa Quinta Olivares [Centro Vacacional]
3,19,Vista Hermosa
3,95,Vista Hermosa
3,36,Xuxtepec
3,22,Zumpango
4,1,Atlzayanca
4,96,Aurelio Aguilar
4,42,Carreta
4,24,Colonia Delicias
4,52,Colonia Nazareth
4,4,Concepción Hidalgo
4,115,El Desmonte
4,5,Felipe Carrillo Puerto
4,109,Huerta Lizet
4,6,La Garita
4,116,La Lobera
4,15,La Rincona
4,73,La Soledad Loma de Ocotla [Ranchería]
4,7,Lázaro Cárdenas
4,9999,Localidades de dos viviendas
4,9998,Localidades de una vivienda
4,49,Loma de Junguito
4,83,Los Ocalitos
4,46,Mazehualpa
4,8,Mesa Redonda
4,51,Miahuapan el Alto
4,9,Miahuapan el Bajo
4,10,Nexnopala
4,37,Ranchería de Pocitos
4,30,Rancho Blanco
4,103,Rancho de Jesús
4,11,Rancho Ocotla
4,16,San Antonio Tecopilco
4,64,San Antonio Zoapila
4,2,San Francisco Axopilco
4,3,San José Buenavista
4,55,San José Miravalle
4,28,San José Pilancón
