Clave de municipio,Municipio
001,Amaxac de Guerrero
002,Apetatitlán de Antonio Carvajal
003,Atlangatepec
004,Atltzayanca
005,Apizaco
006,Calpulalpan
007,El Carmen Tequexquitla
008,Cuapiaxtla
009,Cuaxomulco
010,Chiautempan
011,Muñoz de Domingo Arenas
012,Españita
013,Huamantla
014,Hueyotlipan
015,Ixtacuixtla de Mariano Matam
016,Ixtenco
017,Mazatecochco de José María M
018,Contla de Juan Cuamatzi
019,Tepetitla de Lardizábal
020,Sanctórum de Lázaro Cárdenas
021,Nanacamilpa de Mariano Arista
022,Acuamanala de Miguel Hidalgo
023,Natívitas
024,Panotla
025,San Pablo del Monte
026,Santa Cruz Tlaxcala
027,Tenancingo
028,Teolocholco
029,Tepeyanco
030,Terrenate
031,Tetla de la Solidaridad
032,Tetlatlahuca
033,Tlaxcala
034,Tlaxco
035,Tocatlán
036,Totolac
037,Ziltlaltépec de Trinidad Sánchez
038,Tzompantepec
039,Xaloztoc
040,Xaltocan
041,Papalotla de Xicohténcatl
042,Xicohtzinco
043,Yauhquemehcan
044,Zacatelco
045,Benito Juárez
046,Emiliano Zapata
047,Lázaro Cárdenas
048,La Magdalena Tlaltelulco
049,San Damián Texóloc
050,San Francisco Tetlanohcan
051,San Jerónimo Zacualpan
052,San José Teacalco
053,San Juan Huactzinco
054,San Lorenzo Axocomanitla
055,San Lucas Tecopilco
056,Santa Ana Nopalucan
057,Santa Apolonia Teacalco
058,Santa Catarina Ayometla
059,Santa Cruz Quilehtla
060,Santa Isabel Xiloxoxtla
